Intents,queries,response1,response2
"creator,invent",who created you,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",your developers,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",your creators,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",who are your developers,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",developers,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",you are made by,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",you are made by whom,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",who created you,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",who create you,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",creators,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",who made you,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",who designed you,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
Intro,name,I am   AskU your smart assistant.,The name  asked for is AskU.
Intro,your name,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,do you have a name,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what are you called,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what is your name,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what should I call you,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,whats your name?,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what are you,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,who are you,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,who is this,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what am i chatting to,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,who am i taking to,I am   AskU your smart assistant.,The name you asked for is AskU.
Intro,what are you,I am   AskU your smart assistant.,The name you asked for is AskU.
timing,timing of college,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,what is college timing,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,working days,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,when are you guys open,We are open from 8:00 am to 5:00 pm on working days.,Our working hours are from 8:00 am to 5:00 pm from Monday to Friday.
timing,what are your hours,Our college operates from 8:00 pm to 5:00 pm on weekdays,The college hours are 8:00 am  to 5:00 pm from Monday to Friday
timing,hours of operation,Our college operates from 8:00 pm to 5:01 pm on weekdays,The college hours are 8:00 am  to 5:01 pm from Monday to Friday
timing,when is the college open,The college is open from 8:00 am to 5:00 pm on weekdays.,We are open from 8:00 am to 5:00 pm from Monday to Friday
timing,college timing,The college is open from 8:00 am to 5:00 pm on weekdays.,We are open from 8:00 am to 5:00 pm from Monday to Friday
timing,what about college timing,The college is open from 8:00 am to 5:00 pm on weekdays.,We are open from 8:00 am to 5:00 pm from Monday to Friday
timing,is college open on saturday,"No, the college is closed on Saturdays.",The college operates only from Monday to Friday.
timing,tell something about college timing,The college is open from 8:00 am to 5:00 pm on weekdays.,We are open from 8:00 am to 5:00 pm from Monday to Friday
timing,what is the college  hours,Our college hours are 8:00 am  to 9:00 pm  from Monday to Friday.,"""The timing is 8:00 am to 9:00 pm on working days"
timing,when should i come to college,You should come to collage on Monday to Friday between 8:00 am to 5:00 pm ,You should come to collage on Monday to Friday between 8:00 am to 5:00 pm 
timing,when should i attend college,You should come to collage on Monday to Friday between 8:00 am to 5:01 pm ,You should come to collage on Monday to Friday between 8:00 am to 5:01 pm 
timing,what is my college time,The college timing is from 8:00 am to 5:00 pm  on working days.,Classes are scheduled from 8:00 am to 5:00 pm from Monday to Friday.
timing,college timing,The college timing is from 8:00 am to 5:01 pm  on working days.,Classes are scheduled from 8:00 am to 5:01 pm from Monday to Friday.
timing,timing college,The college timing is from 8:00 am to 5:02 pm  on working days.,Classes are scheduled from 8:00 am to 5:02 pm from Monday to Friday.
number,more info,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,contact info,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,how to contact college,"You can reach us at or +9478378289372 via email at admin@ucp.edu,pk",The best way to contact us is through phone at+9478378289372 or via email.
number,college telephone number,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,college number,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,What is your contact no,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,Contact number?,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,how to call you,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,College phone no?,You can contact the college at +9478378289372,Our contact number is +9478378289372  . Please feel free to call us
number,how can i contact you,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
number,Can i get your phone number,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
number,how can i call you,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
number,phone number,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
number,phone no,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
number,call,You can call us at +9478378289372 during our working hours.,Please feel free to reach us at+9478378289372  anytime.
course,list of courses,"Our college offers courses in Computer Engineering, Information Technology, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We provide courses in Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering."
course,list of courses offered,"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,list of courses offered in,"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,what are the courses offered in your college?,"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,courses?,"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,courses offered,"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,courses offered in (UCP),"At UCP, we offer courses such as Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our university offers courses including Computer Science, IT, AI/ML, and branches like Mechanical, Civil, and Chemical Engineering."
course,courses you offer,"We offer courses in Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our courses include Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering"
course,branches?,"We offer courses in Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our courses include Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering"
course,courses available at UNI?,"We offer courses in Computer Engineering, Information Technology, AI/ML, Mechanical, Civil, and Chemical Engineering","Our courses include Computer Science, IT, AI/ML, Mechanical, Civil, and Chemical Engineering"
course,branches available at your college?,"Our college has branches like Computer Engineering, IT, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We offer branches including Computer Science, IT, Mechanical, Civil, and Chemical Engineering."
course,what are the courses in UNI?,"Our college has branches like Computer Engineering, IT, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We offer branches including Computer Science, IT, Mechanical, Civil, and Chemical Engineering."
course,what are branches in UNI?,"Our college has branches like Computer Engineering, IT, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We offer branches including Computer Science, IT, Mechanical, Civil, and Chemical Engineering."
course,what are courses in UNI?,"Our college has branches like Computer Engineering, IT, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We offer branches including Computer Science, IT, Mechanical, Civil, and Chemical Engineering."
course,branches available in UNI?,"Our college has branches like Computer Engineering, IT, Mechanical Engineering, Civil Engineering, and Chemical Engineering","We offer branches including Computer Science, IT, Mechanical, Civil, and Chemical Engineering."
course,can you tell me the courses available in UNI?,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,can you tell me the branches available in UNI?,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,computer engineering?,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,computer,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,Computer engineering?,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,it,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,IT,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,Information Technology,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,AI/Ml,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,Mechanical engineering,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,Chemical engineering,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
course,Civil engineering,"In UCP, courses like Computer Engineering, IT, AI/ML, Mechanical, Civil, and Chemical Engineering are available.","Our university provides courses such as Computer Science, IT, AI/ML, Mechanical Engineering, and other branches."
fees,information about fee,"The fee per semester is 250,000  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,information on fee,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,tell me the fee,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,college fee,"The fee per semester is 250,00 for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,fee per semester,"The fee per semester is 250,00 for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,what is the fee of each semester,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,what is the fees of each year,The total annual fee for the course is 500000  divided across two semesters.,"For each academic year, the fee is  500000  payable in two installments."
fees,what is fee,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,005 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,what is the fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,006 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,how much is the fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,007 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,fees for first year,"The first-year fee is 525000, which includes semester fees, lab charges, and other applicable costs.",
fees,fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,about the fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,tell me something about the fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,What is the fees of hostel,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,how much is the fees,"The fee per semester is 250,00  for different programs like Computer Engineering, IT, and others","Each semester fee is 250,000 for various courses such as Mechanical, Civil, and Chemical Engineering"
fees,hostel fees,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for AC room,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for non-AC room,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for Ac room for girls,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for non-Ac room for girls,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for Ac room for boys,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
fees,fees for non-Ac room for boys,Hostel fees are 100000 per year for non-AC rooms and 15000  for AC rooms for students,The hostel fee is 100000 per year for non-AC rooms and 150000 for AC rooms.
location,where is the college located,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,college is located at,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,where is college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,where is college located,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,address of college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,how to reach college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,college location,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,college address,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,wheres the college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,how can I reach college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,whats is the college address,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,what is the address of college,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,address,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
location,location,"The college is located at Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab.","Avenue 1, Khayaban-e-Jinnah, Pir Mansur, Johar Town, Lahore, Punjab. You can easily reach it via Khayaban-e-Jinnah Road."
hostel,hostel facility,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel servive,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel location,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel address,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel facilities,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel fees,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,Does college provide hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,Is there any hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,Where is hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,do you have hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,do you guys have hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel capacity,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,what is the hostel fee,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,how to get in hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,what is the hostel address,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,how far is hostel from college,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,hostel college distance,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,where is the hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,how big is the hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,distance between college and hostel,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
hostel,distance between hostel and college,"Yes, the college provides hostel facilities for girls. For detailed information about hostel services, location, fees, and other details, please visit our official website","We offer hostel facilities for students. You can find all the details about hostel location, fees, capacity, and how to apply by visiting our website:  https://ucp.edu.pk/facilities/girls-hostel/"
event,events organised,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,list of events,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,list of events organised in college,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,list of events conducted in college,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
event,What events are conducted in college,"Our college organizes various events throughout the year, including academic conferences, cultural festivals, sports activities, and more. For the complete list of events and their details, please visit: https://ucp.edu.pk/event/","Yes, our college hosts numerous events like workshops, seminars, competitions, and celebrations. To explore the list of upcoming and past events, check out our official events page:  https://ucp.edu.pk/event/ "
